913,954,21
118,680,65
185,1,76
543,797,47
542,792,50
359,528,31
570,208,99
413,765,19
121,69,98
924,233,33
612,404,60
315,635,41
289,312,70
613,272,66
607,197,18
995,423,82
115,510,88
740,70,62
263,367,96
636,253,53
837,6,66
783,581,95
585,792,64
465,880,79
95,913,51
89,651,86
963,207,64
776,448,29
243,13,45
625,176,27
34,640,38
614,291,96
466,17,36
817,357,48
996,577,97
847,61,66
480,927,91
924,308,59
969,34,79
899,195,10
682,767,44
790,218,80
300,284,13
787,624,44
237,426,46
782,976,17
375,949,10
213,685,82
437,715,3
552,454,28
551,492,96
653,173,31
413,871,88
998,884,100
997,206,77
466,1000,4
190,457,40
123,932,47
395,297,63
207,51,48
652,606,13
773,398,60
177,601,96
896,576,43
755,537,26
465,26,69
255,47,79
2,268,4
42,193,35
590,920,24
840,189,90
721,262,89
946,385,3
333,458,86
246,525,6
51,614,71
215,498,9
156,253,46
56,603,31
655,547,8
521,251,88
365,11,27
85,160,29
835,243,34
250,480,35
377,462,63
9,619,43
731,681,74
171,978,97
482,370,53
408,807,91
349,708,78
409,169,32
845,964,28
347,431,38
361,773,78
560,298,65
34,879,61
87,904,1
205,893,99
109,888,70
647,1000,49
580,40,89
51,99,7
531,91,23
529,714,86
687,890,78
49,624,76
815,640,86
11,435,100
321,330,96
798,383,23
380,67,42
411,413,84
321,67,58
121,69,80
242,238,37
40,581,98
25,744,29
313,787,75
127,779,3
535,354,60
225,225,69
887,367,14
913,355,16
435,405,90
858,499,92
770,200,79
418,554,40
242,282,71
253,632,19
908,658,1
914,162,49
243,372,87
341,362,74
57,277,35
961,780,9
301,400,98
226,86,94
372,791,46
683,277,29
255,575,80
282,445,22
230,47,19
693,689,84
378,350,67
366,289,17
154,993,56
218,652,45
669,478,33
710,111,22
143,963,62
556,51,97
288,832,32
750,343,72
538,122,65
533,850,71
638,770,22
121,490,97
35,900,29
458,350,85
680,653,78
869,173,1
333,412,20
978,427,99
707,203,59
917,658,84
140,866,88
82,486,85
172,742,67
179,382,16
483,540,87
448,910,50
836,384,66
853,458,60
699,144,61
611,939,0
364,624,37
864,996,45
213,28,52
541,551,25
83,786,37
882,22,77
331,292,16
224,500,25
956,328,20
54,949,73
998,502,41
876,953,46
880,47,0
269,554,25
701,992,62
645,190,38
724,513,45
658,944,54
770,194,24
492,157,76
924,734,80
686,336,33
456,400,68
407,138,22
66,107,41
857,747,61
11,272,74
501,753,62
519,18,27
476,431,61
334,909,44
132,554,56
602,710,84
255,824,47
832,58,44
276,333,81
855,189,63
309,989,36
110,341,2
329,908,68
568,88,64
324,593,77
950,973,93
751,859,49
673,952,81
813,324,21
565,346,7
987,546,33
700,139,73
270,280,84
211,338,72
677,721,12
152,479,34
933,190,85
758,422,38
684,204,2
341,326,75
837,577,49
660,245,83
613,412,42
940,845,63
933,489,41
936,79,22
540,614,7
699,524,94
187,808,67
982,625,21
915,710,43
546,495,41
300,124,98
947,872,99
297,123,86
591,638,63
964,117,1
62,718,99
624,70,100
206,762,66
593,635,25
420,225,12
521,583,100
978,498,13
157,384,48
927,818,3
181,663,44
449,138,85
409,299,50
275,519,48
705,546,74
872,356,93
945,304,32
374,284,22
841,254,81
487,712,61
621,476,68
625,461,23
438,187,27
170,810,1
517,753,48
707,996,54
64,111,89
684,6,43
812,925,84
341,702,69
682,182,44
883,687,43
678,661,25
76,327,33
223,231,77
700,714,58
197,891,9
526,638,42
901,53,8
733,314,25
503,692,34
482,980,50
546,849,97
623,856,52
158,773,23
247,717,77
386,908,72
126,325,25
131,606,77
872,768,27
668,202,5
571,713,91
762,766,99
671,456,96
111,94,56
592,153,7
991,112,91
957,210,60
847,212,94
111,890,81
749,206,50
752,72,59
777,270,7
879,282,99
146,566,92
126,4,88
787,924,46
800,687,100
248,601,11
906,743,44
173,33,30
639,603,92
167,845,24
771,430,88
728,389,9
309,999,60
395,775,52
936,861,69
301,681,82
499,949,26
538,282,59
310,868,93
880,99,81
743,885,54
826,426,39
397,236,26
614,566,87
210,180,90
154,670,85
255,375,26
127,858,21
776,522,99
685,385,2
799,205,46
516,107,49
257,352,35
583,607,28
570,166,21
689,688,72
376,589,58
147,944,10
549,797,12
768,748,67
996,704,68
106,571,80
497,901,14
972,859,46
384,73,55
775,883,36
624,713,85
304,761,55
841,241,97
462,141,98
906,289,92
886,574,19
789,853,43
849,536,80
376,853,81
789,581,89
496,947,16
886,615,49
2,328,81
715,785,2
589,276,68
352,834,55
273,314,52
613,345,80
190,947,90
661,369,60
770,949,7
249,346,33
318,518,32
793,538,19
450,96,21
949,490,6
258,161,46
993,228,34
8,629,98
363,498,94
894,147,41
755,432,66
511,106,23
549,836,89
680,100,76
399,660,57
624,385,55
950,628,3
394,224,16
62,588,43
252,495,51
558,676,85
515,119,58
173,771,7
993,206,93
281,415,42
773,648,4
757,102,30
320,167,35
637,801,0
556,748,19
252,775,21
282,210,100
245,735,24
15,404,94
479,136,97
746,770,18
562,825,56
283,314,12
294,376,97
172,620,70
399,982,23
35,921,75
990,215,52
553,299,80
3,440,35
255,499,45
832,765,86
515,936,28
558,596,21
121,75,31
501,311,72
937,240,96
111,763,76
758,497,30
750,732,61
166,667,71
580,666,48
121,540,34
79,529,99
410,480,100
994,707,45
681,213,82
794,329,8
255,70,43
160,122,87
1,716,94
26,108,31
657,93,9
674,618,72
820,315,11
740,196,0
241,808,86
448,45,54
491,481,57
680,727,72
484,548,3
348,933,15
307,687,29
816,73,80
989,776,88
987,881,25
339,40,15
269,564,9
573,308,2
913,541,8
5,76,23
260,852,15
906,114,17
354,156,98
470,867,6
534,248,83
218,491,6
596,46,69
614,385,67
89,236,56
518,651,99
829,208,43
693,251,49
122,933,33
425,651,49
296,880,57
78,342,10
872,590,99
936,187,16
409,395,11
86,995,75
344,410,0
573,735,32
835,985,59
105,792,12
622,463,11
49,791,55
386,944,12
43,810,20
455,553,55
44,23,45
640,829,25
684,973,33
464,953,24
295,732,38
886,210,77
412,869,30
118,358,18
250,433,60
360,999,68
488,146,5
55,605,82
995,182,83
341,394,87
420,733,89
64,371,33
845,192,58
983,580,15
638,244,31
226,86,25
736,90,74
721,727,90
66,736,38
313,409,93
294,68,93
964,662,100
800,628,35
974,847,69
834,82,4
465,794,7
372,642,98
322,87,37
157,315,66
923,107,17
16,473,77
659,3,18
778,65,9
206,722,27
709,411,66
127,372,73
875,94,32
523,654,46
192,603,38
327,261,55
551,421,68
135,232,6
49,299,57
667,396,3
144,256,48
921,914,66
995,65,7
903,563,11
886,78,58
964,771,40
69,174,30
746,896,3
772,614,55
169,171,9
614,656,30
271,84,81
340,365,5
261,495,56
229,427,66
247,929,29
703,402,57
653,174,70
888,988,49
691,441,22
122,684,22
103,246,3
898,874,4
480,229,79
800,281,61
339,12,80
579,867,11
622,272,84
675,185,66
846,612,85
742,994,27
289,35,30
47,491,40
502,236,71
247,775,84
135,900,82
845,903,67
855,839,66
360,433,23
692,89,49
520,622,27
856,551,19
381,566,30
102,188,79
817,870,89
695,191,51
184,513,68
47,446,41
557,113,74
688,914,69
388,408,70
376,514,93
629,358,26
692,489,68
619,862,98
881,360,50
165,254,29
6,554,18
954,840,78
76,668,80
512,348,79
701,331,56
108,624,69
569,47,92
504,822,68
362,288,1
275,862,46
401,265,3
732,768,53
225,196,97
135,192,11
211,529,96
856,985,22
124,311,1
595,270,66
844,976,74
105,506,81
334,191,66
112,885,29
66,985,2
403,691,20
211,423,50
413,516,81
846,424,60
642,506,95
454,724,44
184,628,67
127,975,89
456,449,77
963,513,81
77,176,76
371,405,70
894,619,27
457,939,26
364,788,96
500,708,29
227,793,97
951,806,65
669,978,93
662,830,35
916,752,20
248,690,51
698,101,26
4,352,34
496,474,36
615,327,52
858,603,100
467,432,85
909,615,46
377,142,12
355,811,75
693,781,40
55,79,50
107,373,81
826,155,21
821,180,29
283,800,19
602,832,51
565,440,45
986,893,4
253,895,0
595,161,10
403,102,88
589,1,82
